1 273
211 0.141205  0.281953  -19.7827 19.7857  0.13957 0.0807982 0.161334 -11.3197 33.2139 
111 0.691478  0.16141  -161.793 161.795  0.13498 0.188774 0.0440649 -44.1696 66.0625 
211 0.338489  -0.419318  -0.592588 0.813045  0.13957 0.119982 -0.148633 -0.210051 22.1807 
211 0.387037  -0.131214  -0.494934 0.656852  0.13957 0.176844 -0.0599539 -0.226144 22.1926 
-211 2.70772  -2.06791  -3.36239 4.78886  0.13957 0.156687 -0.119663 -0.19457 22.1696 
-2212 3.83614  -4.45793  -7.78812 9.80431  0.93827 0.127098 -0.147699 -0.258034 22.2173 
-211 0.308257  -0.237899  -0.514427 0.660101  0.13957 0.147049 -0.113486 -0.245399 22.2073 
2212 -1.0241  -0.428927  9.791 9.89832  0.93827 -0.139012 -0.0582228 1.32904 23.2361 
211 -0.0625085  -0.2236  2.14921 2.16622  0.13957 -0.0455313 -0.16287 1.56549 23.4703 
211 -0.236893  0.393529  16.1538 16.1609  0.13957 -0.0973694 0.161751 6.63964 28.535 
111 -0.383471  -0.300093  20.0768 20.0832  0.13498 -0.149747 -0.117187 7.84006 29.735 
211 -0.366461  0.329153  29.2339 29.2384  0.13957 -0.141238 0.126859 11.2671 33.1613 
111 -0.270648  1.09778  126.948 126.953  0.13498 -0.0469 0.190233 21.9986 43.8919 
-211 0.174227  -0.172866  16.8748 16.8771  0.13957 0.121762 -0.12081 11.7932 33.6873 
111 0.566044  0.238659  154.791 154.792  0.13498 0.177583 0.0748738 48.562 70.4548 
211 -0.984553  0.0758105  152.378 152.381  0.13957 -0.194801 0.0149997 30.1492 52.0423 
111 -0.864264  0.856466  99.4952 99.5027  0.13498 -0.139303 0.138046 16.0367 37.9304 
111 -4.25728  3.8888  -0.850846 5.83004  0.13498 -0.145649 0.133042 -0.0291089 22.0919 
211 -1.08754  1.05905  -0.156514 1.53242  0.13957 -0.140772 0.137084 -0.0202593 22.0908 
-211 -0.342449  0.50424  -0.819644 1.03093  0.13957 -0.108062 0.159116 -0.258644 22.2178 
2212 -1.01016  0.536272  -0.858617 1.71043  0.93827 -0.134741 0.0715315 -0.114528 22.1206 
211 -0.299666  0.518579  -0.154256 0.634034  0.13957 -0.0961491 0.166389 -0.0494938 22.0959 
211 -0.438002  0.0876181  -0.925195 1.03682  0.13957 -0.184681 0.0369437 -0.390104 22.3296 
111 0.265785  0.55347  -1.13735 1.29952  0.13498 0.0834253 0.173725 -0.356995 22.3004 
2212 -0.224285  1.13001  -2.17813 2.63663  0.93827 -0.0297861 0.15007 -0.289266 22.2426 
-211 -0.0250715  0.73118  -0.998094 1.24536  0.13957 -0.00664217 0.193711 -0.264424 22.2224 
-2112 0.405898  1.72018  -2.3263 3.06891  0.93957 0.0400131 0.169574 -0.229325 22.195 
211 0.160682  -0.0429964  -0.212737 0.303981  0.13957 0.146019 -0.0390729 -0.193324 22.1687 
-211 -0.122804  0.0734944  -0.184003 0.271697  0.13957 -0.121216 0.0725439 -0.181623 22.1606 
111 -0.770118  2.36604  -0.941442 2.66379  0.13498 -0.060982 0.187356 -0.0745482 22.1034 
2112 -0.830345  1.84259  0.111449 2.23155  0.93957 -0.0735131 0.163131 0.00986696 22.09 
-211 -0.149038  0.56185  0.204283 0.631743  0.13957 -0.049194 0.185453 0.067429 22.101 
-311 -1.01369  -0.984649  0.206064 1.51235  0.49761 -0.133505 -0.129679 0.0271389 22.0916 
-211 -0.292723  -1.0972  0.205247 1.16239  0.13957 -0.0504841 -0.189228 0.0353977 22.0929 
2212 -0.845009  -0.812542  -0.202181 1.51509  0.93827 -0.111044 -0.106778 -0.026569 22.0916 
211 -0.209027  0.0275135  -0.0162381 0.253363  0.13957 -0.163126 0.0214718 -0.0126723 22.0902 
-2212 -0.767383  -1.04268  -0.312552 1.62914  0.93827 -0.0947039 -0.128679 -0.0385725 22.0935 
-211 -0.0514418  -0.152328  -0.282266 0.353559  0.13957 -0.0476754 -0.141175 -0.261599 22.2201 
-2212 -0.0113313  -0.680189  -6.94726 7.04326  0.93827 -0.00192925 -0.115809 -1.18284 23.0916 
-211 0.45877  -1.75558  -7.99177 8.19637  0.13957 0.0497416 -0.190347 -0.866498 22.7811 
111 0.496133  -0.245962  -0.880094 1.04854  0.13498 0.171758 -0.0851505 -0.304683 22.2555 
2112 -0.272099  -0.527087  16.1597 16.1979  0.93957 -0.0483199 -0.0936012 2.86967 24.7689 
-211 0.00462281  0.116252  2.35073 2.35774  0.13957 0.00502015 0.126244 2.55278 24.4529 
-2112 0.215025  0.40473  26.8556 26.8759  0.93957 0.0405866 0.0763941 5.06907 26.9654 
211 -0.0959915  0.243431  4.79776 4.80692  0.13957 -0.0638674 0.161965 3.19216 25.0907 
